Date : 2023-04-02 15:53:47
Directory : f:\Project\工作文件夹\MiraiTravel-Worker
Total : 87 files,  6120 codes, 3028 comments, 1153 blanks, all 10301 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| PHP      |         61 |      5,147 |      3,028 |      1,002 |      9,177 |
| Log      |          7 |        465 |          0 |         27 |        492 |
| Markdown |         11 |        332 |          0 |        120 |        452 |
| JSON     |          8 |        176 |          0 |          4 |        180 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                       |         87 |      6,120 |      3,028 |      1,153 |     10,301 |
| . (Files)                                                                                                               |          6 |        298 |          4 |         60 |        362 |
| apter                                                                                                                   |         21 |      1,429 |      1,074 |        340 |      2,843 |
| apter\QQ                                                                                                                |         21 |      1,429 |      1,074 |        340 |      2,843 |
| apter\QQ\miraiAdapter                                                                                                   |         11 |      1,140 |        621 |        210 |      1,971 |
| apter\QQ\miraiAdapter (Files)                                                                                           |          2 |          7 |          0 |          5 |         12 |
| apter\QQ\miraiAdapter\basic                                                                                             |          7 |      1,051 |        591 |        194 |      1,836 |
| apter\QQ\miraiAdapter\easyMirai                                                                                         |          1 |         34 |         11 |          5 |         50 |
| apter\QQ\miraiAdapter\easyMirai\V0.1.1                                                                                  |          1 |         34 |         11 |          5 |         50 |
| apter\QQ\miraiAdapter\webhook                                                                                           |          1 |         48 |         19 |          6 |         73 |
| apter\QQ\miraiAdapter\webhook\V0.1.1                                                                                    |          1 |         48 |         19 |          6 |         73 |
| apter\QQ\onebotAapter                                                                                                   |          2 |          0 |          0 |          2 |          2 |
| apter\QQ\standard                                                                                                       |          8 |        289 |        453 |        128 |        870 |
| apter\QQ\standard\basic                                                                                                 |          6 |        212 |        431 |        112 |        755 |
| apter\QQ\standard\easyQQ                                                                                                |          1 |         42 |         11 |          8 |         61 |
| apter\QQ\standard\webhook.php                                                                                           |          1 |         35 |         11 |          8 |         54 |
| core                                                                                                                    |         32 |      3,285 |      1,878 |        575 |      5,738 |
| core (Files)                                                                                                            |         11 |        744 |        165 |        134 |      1,043 |
| core\miraiTravelSoftware                                                                                                |         21 |      2,541 |      1,713 |        441 |      4,695 |
| core\miraiTravelSoftware (Files)                                                                                        |          5 |        422 |         22 |         62 |        506 |
| core\miraiTravelSoftware\stay                                                                                           |         16 |      2,119 |      1,691 |        379 |      4,189 |
| core\miraiTravelSoftware\stay (Files)                                                                                   |          2 |        117 |          0 |         19 |        136 |
| core\miraiTravelSoftware\stay\Connection                                                                                |          2 |        474 |        497 |         99 |      1,070 |
| core\miraiTravelSoftware\stay\Events                                                                                    |          2 |        233 |        186 |         46 |        465 |
| core\miraiTravelSoftware\stay\Protocols                                                                                 |         10 |      1,295 |      1,008 |        215 |      2,518 |
| core\miraiTravelSoftware\stay\Protocols (Files)                                                                         |          1 |        210 |         89 |         25 |        324 |
| core\miraiTravelSoftware\stay\Protocols\Http                                                                            |          9 |      1,085 |        919 |        190 |      2,194 |
| core\miraiTravelSoftware\stay\Protocols\Http (Files)                                                                    |          5 |        875 |        680 |        138 |      1,693 |
| core\miraiTravelSoftware\stay\Protocols\Http\Session                                                                    |          4 |        210 |        239 |         52 |        501 |
| docs                                                                                                                    |          7 |        176 |          0 |         64 |        240 |
| docs (Files)                                                                                                            |          5 |        126 |          0 |         44 |        170 |
| docs\QQBot                                                                                                              |          1 |         47 |          0 |         15 |         62 |
| docs\System                                                                                                             |          1 |          3 |          0 |          5 |          8 |
| logs                                                                                                                    |          7 |        465 |          0 |         27 |        492 |
| logs (Files)                                                                                                            |          4 |        208 |          0 |          1 |        209 |
| logs\Script                                                                                                             |          3 |        257 |          0 |         26 |        283 |
| logs\Script\2771717841                                                                                                  |          3 |        257 |          0 |         26 |        283 |
| plugins                                                                                                                 |          7 |        316 |          3 |         45 |        364 |
| plugins\QQ                                                                                                              |          7 |        316 |          3 |         45 |        364 |
| plugins\QQ\bilibiliFans                                                                                                 |          2 |         66 |          0 |         12 |         78 |
| plugins\QQ\bilibiliFans\V0.1.0                                                                                          |          2 |         66 |          0 |         12 |         78 |
| plugins\QQ\groupManager                                                                                                 |          2 |        110 |          3 |         15 |        128 |
| plugins\QQ\groupManager\V0.1.0                                                                                          |          2 |        110 |          3 |         15 |        128 |
| plugins\QQ\runoobC                                                                                                      |          3 |        140 |          0 |         18 |        158 |
| plugins\QQ\runoobC\V0.1.0                                                                                               |          3 |        140 |          0 |         18 |        158 |
| public                                                                                                                  |          2 |        100 |         10 |         20 |        130 |
| script                                                                                                                  |          5 |         51 |         59 |         22 |        132 |
| script\Administrator                                                                                                    |          1 |          0 |          0 |          1 |          1 |
| script\President                                                                                                        |          1 |         13 |         10 |          6 |         29 |
| script\QQ                                                                                                               |          1 |         38 |         49 |         13 |        100 |
| script\email                                                                                                            |          2 |          0 |          0 |          2 |          2 |
| script\email (Files)                                                                                                    |          1 |          0 |          0 |          1 |          1 |
| script\email\eMail01                                                                                                    |          1 |          0 |          0 |          1 |          1 |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| f:\Project\工作文件夹\MiraiTravel-Worker\CODE_OF_CONDUCT.md                                                                  | Markdown |         93 |          0 |         36 |        129 |
| f:\Project\工作文件夹\MiraiTravel-Worker\CONTRIBUTING.md                                                                     | Markdown |          3 |          0 |          3 |          6 |
| f:\Project\工作文件夹\MiraiTravel-Worker\MiraiTravel.php                                                                     | PHP      |          5 |          4 |          6 |         15 |
