Date : 2023-04-03 16:48:00
Directory : f:\Project\工作文件夹\MiraiTravel-Worker
Total : 87 files,  6035 codes, 2871 comments, 1112 blanks, all 10018 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| PHP      |         61 |      5,062 |      2,871 |        961 |      8,894 |
| Log      |          7 |        465 |          0 |         27 |        492 |
| Markdown |         11 |        332 |          0 |        120 |        452 |
| JSON     |          8 |        176 |          0 |          4 |        180 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                       |         87 |      6,035 |      2,871 |      1,112 |     10,018 |
| . (Files)                                                                                                               |          6 |        298 |          4 |         60 |        362 |
| Adapter                                                                                                                 |         21 |      1,352 |        920 |        298 |      2,570 |
| Adapter\QQ                                                                                                              |         21 |      1,352 |        920 |        298 |      2,570 |
| Adapter\QQ\miraiAdapter                                                                                                 |         11 |      1,055 |        442 |        162 |      1,659 |
| Adapter\QQ\miraiAdapter (Files)                                                                                         |          2 |          7 |          0 |          5 |         12 |
| Adapter\QQ\miraiAdapter\basic                                                                                           |          7 |        966 |        412 |        146 |      1,524 |
| Adapter\QQ\miraiAdapter\easyMirai                                                                                       |          1 |         34 |         11 |          5 |         50 |
| Adapter\QQ\miraiAdapter\easyMirai\V0.1.1                                                                                |          1 |         34 |         11 |          5 |         50 |
| Adapter\QQ\miraiAdapter\webhook                                                                                         |          1 |         48 |         19 |          6 |         73 |
| Adapter\QQ\miraiAdapter\webhook\V0.1.1                                                                                  |          1 |         48 |         19 |          6 |         73 |
| Adapter\QQ\onebotAapter                                                                                                 |          2 |          0 |          0 |          2 |          2 |
| Adapter\QQ\standard                                                                                                     |          8 |        297 |        478 |        134 |        909 |
| Adapter\QQ\standard\basic                                                                                               |          6 |        220 |        456 |        118 |        794 |
| Adapter\QQ\standard\easyQQ                                                                                              |          1 |         42 |         11 |          8 |         61 |
| Adapter\QQ\standard\webhook.php                                                                                         |          1 |         35 |         11 |          8 |         54 |
| core                                                                                                                    |         32 |      3,277 |      1,875 |        576 |      5,728 |
| core (Files)                                                                                                            |         11 |        734 |        162 |        135 |      1,031 |
| core\miraiTravelSoftware                                                                                                |         21 |      2,543 |      1,713 |        441 |      4,697 |
| core\miraiTravelSoftware (Files)                                                                                        |          5 |        424 |         22 |         62 |        508 |
| core\miraiTravelSoftware\stay                                                                                           |         16 |      2,119 |      1,691 |        379 |      4,189 |
| core\miraiTravelSoftware\stay (Files)                                                                                   |          2 |        117 |          0 |         19 |        136 |
| core\miraiTravelSoftware\stay\Connection                                                                                |          2 |        474 |        497 |         99 |      1,070 |
| core\miraiTravelSoftware\stay\Events                                                                                    |          2 |        233 |        186 |         46 |        465 |
| core\miraiTravelSoftware\stay\Protocols                                                                                 |         10 |      1,295 |      1,008 |        215 |      2,518 |
| core\miraiTravelSoftware\stay\Protocols (Files)                                                                         |          1 |        210 |         89 |         25 |        324 |
| core\miraiTravelSoftware\stay\Protocols\Http                                                                            |          9 |      1,085 |        919 |        190 |      2,194 |
| core\miraiTravelSoftware\stay\Protocols\Http (Files)                                                                    |          5 |        875 |        680 |        138 |      1,693 |
| core\miraiTravelSoftware\stay\Protocols\Http\Session                                                                    |          4 |        210 |        239 |         52 |        501 |
| docs                                                                                                                    |          7 |        176 |          0 |         64 |        240 |
| docs (Files)                                                                                                            |          5 |        126 |          0 |         44 |        170 |
| docs\QQBot                                                                                                              |          1 |         47 |          0 |         15 |         62 |
| docs\System                                                                                                             |          1 |          3 |          0 |          5 |          8 |
| logs                                                                                                                    |          7 |        465 |          0 |         27 |        492 |
| logs (Files)                                                                                                            |          4 |        208 |          0 |          1 |        209 |
| logs\Script                                                                                                             |          3 |        257 |          0 |         26 |        283 |
| logs\Script\QQ                                                                                                          |          3 |        257 |          0 |         26 |        283 |
| logs\Script\QQ\2771717841                                                                                               |          3 |        257 |          0 |         26 |        283 |
| plugins                                                                                                                 |          7 |        316 |          3 |         45 |        364 |
| plugins\QQ                                                                                                              |          7 |        316 |          3 |         45 |        364 |
| plugins\QQ\bilibiliFans                                                                                                 |          2 |         66 |          0 |         12 |         78 |
| plugins\QQ\bilibiliFans\V0.1.0                                                                                          |          2 |         66 |          0 |         12 |         78 |
| plugins\QQ\groupManager                                                                                                 |          2 |        110 |          3 |         15 |        128 |
| plugins\QQ\groupManager\V0.1.0                                                                                          |          2 |        110 |          3 |         15 |        128 |
| plugins\QQ\runoobC                                                                                                      |          3 |        140 |          0 |         18 |        158 |
| plugins\QQ\runoobC\V0.1.0                                                                                               |          3 |        140 |          0 |         18 |        158 |
| public                                                                                                                  |          2 |        100 |         10 |         20 |        130 |
| script                                                                                                                  |          5 |         51 |         59 |         22 |        132 |
| script\Administrator                                                                                                    |          1 |          0 |          0 |          1 |          1 |
| script\President                                                                                                        |          1 |         13 |         10 |          6 |         29 |
| script\QQ                                                                                                               |          1 |         38 |         49 |         13 |        100 |
| script\email                                                                                                            |          2 |          0 |          0 |          2 |          2 |
| script\email (Files)                                                                                                    |          1 |          0 |          0 |          1 |          1 |
| script\email\eMail01                                                                                                    |          1 |          0 |          0 |          1 |          1 |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
